amfi_code,return_3yr_pct,expense_ratio_pct,Sharpe_Ratio,Sharpe_Rank,alpha,beta,Maximum_Drawdown,Worst_Drawdown_Date,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,fund_score
119092,11.84,1.64,0.030784850954585913,31.0,-0.115018727162994,1.1590213318629516,-0.1440161790933726,2025-02-07,31.0,31.0,35.0,39.5,15.0,100.0
119093,12.14,0.75,0.12961449795669325,29.0,-0.0781152813660859,1.0139262119982864,-0.21751396370148224,2023-05-22,29.0,29.0,30.0,8.0,31.0,83.39952343129468
119094,15.18,1.38,0.9982309868636414,11.0,0.016867230962721087,1.520896481602754,-0.20960883862039192,2022-08-11,15.0,11.0,27.0,17.0,28.0,57.18824463860207
119095,20.98,1.38,-0.07597357117478923,33.0,-0.3056243461244477,2.2108490756850485,-0.5167775370852656,2026-05-11,4.0,33.0,39.0,17.0,39.0,75.29785544082607
101206,13.78,1.6,1.0272133278753697,9.0,0.09744276980996124,0.7370150749441956,-0.11291596329323073,2023-07-05,22.0,9.0,7.0,36.5,9.0,52.8196981731533
101207,22.38,1.53,0.1626607692864677,28.0,-0.35074122431691096,2.8781840749412004,-0.3544691649336603,2026-05-11,3.0,28.0,40.0,28.5,38.0,76.17156473391582
101208,5.14,0.79,-0.8155673679088278,40.0,0.06103184313333541,-0.0010198340079364259,-0.0016224980244717857,2023-09-12,40.0,40.0,15.0,11.0,3.0,85.62351072279587
102885,12.1,1.57,0.8170993373494368,16.0,0.07188210134066052,0.616292265757131,-0.1085986215250232,2022-03-29,30.0,16.0,11.0,34.0,7.0,66.71961874503573
102886,15.61,1.51,-0.20583160785470314,36.0,-0.1156784482249716,0.9014414037954364,-0.2800112356639287,2026-04-27,12.0,36.0,36.0,24.5,35.0,85.70293884034949
102887,15.34,1.64,0.6195175900829828,22.0,0.024546563427794304,0.8682864578367645,-0.21539827112383225,2022-07-04,13.0,22.0,24.0,39.5,30.0,73.47100873709293
148567,14.81,1.46,1.4482911703262595,1.0,0.18196793619353316,0.5571340440928769,-0.11265729075028275,2023-10-20,17.0,1.0,1.0,23.0,8.0,31.135822081016684
148568,14.56,1.52,0.9262873467360146,15.0,0.07904245498406462,0.8104117143433328,-0.1527259422823477,2024-01-24,19.0,15.0,10.0,26.5,19.0,55.043685464654494
148569,13.58,1.6,1.2349300257743296,3.0,0.0964729741905604,1.1745863251691935,-0.1639674294693263,2023-10-20,23.0,3.0,8.0,36.5,21.0,53.45512311358221
149322,12.82,1.54,0.4640374492204777,25.0,-0.019263725813704557,0.9487248528073089,-0.14844576917771746,2022-02-04,25.0,25.0,28.0,30.5,16.0,81.09610802223987
149323,17.16,1.61,1.1321218524747245,6.0,0.08772338760612475,1.1204823921524785,-0.17248105753451382,2022-10-24,9.0,6.0,9.0,38.0,22.0,44.16203335980937
149324,20.08,1.52,0.9497958246616031,13.0,-0.051278045623042966,2.214803834236839,-0.31171900300634214,2025-01-03,6.0,13.0,29.0,26.5,37.0,58.85623510722797
